#,Year,OrientationJ mode,Field / application,Reference,Usage extract,DOI,Title,Journal,Authors
257,2025,Distribution (directionality histogram),materials/fiber reinforced concrete,Carrera et al. (2025),Image analysis was performed with FIJI ImageJ software (version 1.54) and the OrientationJ plugin (version 2.0.7) to objectively quantify orientation angles and distribution histograms.,10.3390/ma19010125,Two-Dimensional Magnetic Orientation of Steel Fibers in Large Slab Elements Made of HPFRC Using an Industrial Robot,Materials,"Carrera K, Konrád P, Künzel K, Kheml P, Sovják R, Mára M, Fornůsek J, Konvalinka P."
258,2025,Dominant Direction and Coherency,meat analogues materials,Schlangen et al. (2025),The dominant direction in each image was determined and the coherency to this dominant direction was calculated with OrientationJ.,10.1016/j.crfs.2025.100980,"Meat analogues: The relationship between mechanical anisotropy, macrostructure, and microstructure",Current Research in Food Science,"Schlangen M, van der Doef I, van der Goot AJ, Clausen MP, Kodger TE."
259,2025,Distribution (directionality histogram),muscle tissue engineering,Liu et al. (2025),Then the OrientationJ plugin was used to analyze the orientation distribution of the fibril structures.,10.1002/adma.202501147,Filamented Light (FLight) Bioprinting of Mini-Muscles with Self-Renewal Potential,Advanced Materials,"Liu H, Winkelbauer M, Janiak J, Weber P, Kalkan AK, Kim I, Chansoria P, Bar-Nur O, Zenobi-Wong M."
260,2025,Color-coded orientation map,muscle tissue engineering,Winkelbauer et al. (2025),Confocal images of matured constructs were analyzed in Fiji (ImageJ) using the OrientationJ plugin,10.1002/advs.202512727,Prolonged Cell Encapsulation and Gravity-independent Filamented Light Biofabrication of Muscle Constructs,Advanced Science,"Winkelbauer M, Janiak J, Windisch J, Liu H, Bulatova M, Von Witzleben M, Oliveira H, Dani F, Richter RF, L'Heureux N, Bar-Nur O, Gelinsky M, Zenobi-Wong M, Chansoria P."
261,2025,Vector Field; Color-coded orientation map,muscle tissue engineering; myoblast alignment,Huo et al. (2025),"The orientation director field and orientation colormap of the cell sheet were obtained using the ImageJ plugin OrientationJ, with both the window size and grid size set to 15 μm",10.1021/acsnano.5c08392,Myoblast Choreographic Alignment,ACS Nano,"Huo Y, Xu H, Zhao Y, Han E, Lin M, Hsia KJ."
262,2025,orientation/coherency analysis,neuronal alignment and neurite directionality,Hoffmann et al. (2025),The FIJI OrientationJ plugin developed by Fonck et al. in 2009 was here implemented in a novel region-based configuration to examine neurites emanating from each somata or somata cluster.,10.1186/s13287-025-04591-0,Optimizing the in vitro neuronal microenvironment to mitigate phototoxicity in live-cell imaging,Stem Cell Research & Therapy,"Hoffmann CR, Maksour S, Clarke JE, Daniszewski M, Houghton FJ, Wang J, Pébay A, Gleeson PA, Dottori M, Cho E, Zalesky A, Di Biase MA."
263,2025,Distribution (directionality histogram),neuronal alignment in hydrogels,Liu et al. (2025),the 'OrientationJ' plugin was used to evaluate the orientation and distribution of the aligned neurites,10.1016/j.mtbio.2025.101471,Filamented hydrogels as tunable conduits for guiding neurite outgrowth,Materials Today Bio,"Liu H, Puiggalí-Jou A, Chansoria P, Janiak J, Zenobi-Wong M."
264,2025,Measure,neuronal axon growth and directionality,De et al. (2025),"Measures of directionality were obtained using the semi‐automated Fiji plugin OrientationJ, with default settings.",10.1002/advs.202500400,Mechanical Forces Guide Axon Growth through the Nigrostriatal Pathway in an Organotypic Model,Advanced Science,"De Vincentiis S, Capitanini E, Kira K, Dell'Amico C, Takahashi J, Onorati M, Raudzus F, Raffa V."
265,2025,Distribution (directionality histogram),neuronal synaptic dendritic alignment,Karunakaran et al. (2025),Maximum intensity projected 60 × images with PSD95 staining were analyzed using the OrientationJ plugin in ImageJ software by selecting the OrientationJ distribution,10.1186/s13024-025-00850-z,The UNC5C T835M mutation associated with Alzheimer's disease leads to neurodegeneration involving oxidative stress and hippocampal atrophy in aged mice,Molecular Neurodegeneration,"Karunakaran DKP, Ley M, Guo J, Khatri A, Sadleir K, Popovic J, Upadhyay AK, Savas J, Procissi D, Atwal J, Vassar R."
266,2025,Color-coded orientation map,scaffold materials / tissue engineering,Long et al. (2025),"OrientationJ"" and ""Directionality"" plugins, from Fiji were used to create the color maps of the pore orientation and to generate data to plot the directionality curves",10.1002/advs.202417447,Enhancing Tendon Regeneration: Investigating the Impact of Topography on the Secretome of Adipose-Derived Stem Cells,Advanced Science,"Long Q, Liu C, Zheng H, Wang M, Liu H, Liu Y, Cao Z, Sun Y, Mo Q, Backman LJ, Zhu J, Hu L, Huang J, Zhang W, Chen J."
